lag_0,lag_1,lag_2,lag_3,lag_7,lag_14,lag_21,lag_28,lag_365,lag_366,rolling_7,rolling_30,hdd_fc,cdd_fc,dew_point_fc,solar_rad_fc
108006,117898.0,121029.0,120106.0,114037.0,122125.0,129490.0,125920.0,133807.0,133776.0,119284.85714285714,126539.03333333334,11.0,0.0,19.7,14.98
110110,108006.0,117898.0,121029.0,112339.0,113235.0,126062.0,119214.0,123832.0,133807.0,118423.28571428572,125517.7,11.5,0.0,32.5,2.27
122419,110110.0,108006.0,117898.0,125963.0,126959.0,131611.0,129724.0,117964.0,123832.0,118104.85714285714,124474.23333333334,4.5,0.0,33.5,20.01
115575,122419.0,110110.0,108006.0,123622.0,125748.0,128988.0,130168.0,129783.0,117964.0,117598.57142857143,124357.53333333334,7.5,0.0,34.3,5.83
116769,115575.0,122419.0,110110.0,120106.0,124617.0,128251.0,131364.0,131720.0,129783.0,116449.0,124236.23333333334,1.0,0.0,35.6,21.57
112983,116769.0,115575.0,122419.0,121029.0,128016.0,129517.0,133929.0,132901.0,131720.0,115972.28571428572,123804.4,0.0,0.0,38.6,20.31
109059,112983.0,116769.0,115575.0,117898.0,126067.0,132096.0,138016.0,131634.0,132901.0,114822.85714285714,123231.56666666668,1.0,0.0,38.4,3.95
106277,109059.0,112983.0,116769.0,108006.0,114037.0,122125.0,129490.0,129664.0,131634.0,113560.14285714286,122488.06666666668,4.5,0.0,45.1,4.82
106911,106277.0,109059.0,112983.0,110110.0,112339.0,113235.0,126062.0,115078.0,129664.0,113313.14285714286,121566.33333333331,3.5,0.0,42.6,13.5
111212,106911.0,106277.0,109059.0,122419.0,125963.0,126959.0,131611.0,115241.0,115078.0,112856.14285714286,120529.5,5.0,0.0,36.9,7.55
111690,111212.0,106911.0,106277.0,115575.0,123622.0,125748.0,128988.0,131674.0,115241.0,111255.14285714286,119920.23333333334,3.0,0.0,30.2,19.39
109617,111690.0,111212.0,106911.0,116769.0,120106.0,124617.0,128251.0,131047.0,131674.0,110700.14285714286,119441.16666666669,2.0,0.0,28.5,18.82
109109,109617.0,111690.0,111212.0,112983.0,121029.0,128016.0,129517.0,128648.0,131047.0,109678.42857142857,118708.03333333334,1.5,0.0,39.7,5.35
109396,109109.0,109617.0,111690.0,109059.0,117898.0,126067.0,132096.0,126966.0,128648.0,109125.0,118045.4,0.0,0.0,41.5,8.91
103204,109396.0,109109.0,109617.0,106277.0,108006.0,114037.0,122125.0,130603.0,126966.0,109173.14285714286,117416.9,0.0,0.0,45.0,14.34
101605,103204.0,109396.0,109109.0,106911.0,110110.0,112339.0,113235.0,117035.0,130603.0,108734.14285714286,116539.8,0.0,0.0,38.1,23.46
105411,101605.0,103204.0,109396.0,111212.0,122419.0,125963.0,126959.0,112880.0,117035.0,107976.14285714286,115523.43333333332,0.0,0.0,34.9,20.72
104373,105411.0,101605.0,103204.0,111690.0,115575.0,123622.0,125748.0,128595.0,112880.0,107147.42857142857,114966.3,0.0,0.0,47.0,17.88
105413,104373.0,105411.0,101605.0,109617.0,116769.0,120106.0,124617.0,127521.0,128595.0,106102.14285714286,114670.9,0.0,0.0,41.1,10.22
106910,105413.0,104373.0,105411.0,109109.0,112983.0,121029.0,128016.0,125957.0,127521.0,105501.57142857143,113952.7,7.0,0.0,26.3,15.31
108499,106910.0,105413.0,104373.0,109396.0,109059.0,117898.0,126067.0,128312.0,125957.0,105187.42857142857,113324.76666666666,3.0,0.0,22.9,21.88
103586,108499.0,106910.0,105413.0,103204.0,106277.0,108006.0,114037.0,127562.0,128312.0,105059.28571428572,112787.5,0.0,0.0,37.6,16.33
100836,103586.0,108499.0,106910.0,101605.0,106911.0,110110.0,112339.0,118357.0,127562.0,105113.85714285714,111973.16666666669,0.0,0.0,54.1,3.82
108641,100836.0,103586.0,108499.0,105411.0,111212.0,122419.0,125963.0,116481.0,118357.0,105004.0,111132.13333333332,0.0,0.0,32.2,20.79
105963,108641.0,100836.0,103586.0,104373.0,111690.0,115575.0,123622.0,127795.0,116481.0,105465.42857142857,110952.26666666666,2.0,0.0,26.3,20.21
106648,105963.0,108641.0,100836.0,105413.0,109617.0,116769.0,120106.0,125906.0,127795.0,105692.57142857143,110739.73333333334,6.0,0.0,22.0,22.77
107893,106648.0,105963.0,108641.0,106910.0,109109.0,112983.0,121029.0,120257.0,125906.0,105869.0,110095.9,6.5,0.0,26.3,18.87
109478,107893.0,106648.0,105963.0,108499.0,109396.0,109059.0,117898.0,126494.0,120257.0,106009.42857142857,109571.6,6.5,0.0,36.6,8.19
106391,109478.0,107893.0,106648.0,103586.0,103204.0,106277.0,108006.0,125896.0,126494.0,106149.28571428572,109217.33333333331,0.0,0.0,31.8,24.12
102400,106391.0,109478.0,107893.0,100836.0,101605.0,106911.0,110110.0,115263.0,125896.0,106550.0,108729.4,0.0,0.0,33.8,13.49
106144,102400.0,106391.0,109478.0,108641.0,105411.0,111212.0,122419.0,108480.0,115263.0,106773.42857142857,108212.8,0.0,0.0,38.6,14.2
107374,106144.0,102400.0,106391.0,105963.0,104373.0,111690.0,115575.0,123212.0,108480.0,106416.71428571428,108150.73333333334,6.5,0.0,18.3,20.46
