lag_0,lag_1,lag_2,lag_3,lag_7,lag_14,lag_21,lag_28,lag_365,lag_366,rolling_7,rolling_30,tmin_fc,tmax_fc,tavg_fc,dew_point_fc,rh_mean_fc,prcp_fc,snow_fc,snwd_fc,solar_rad_fc,cloud_cover_fc,hdd_fc,cdd_fc,tavg_3day_fc,cdd_3day_fc,hdd_3day_fc,is_weekend_next,is_holiday_next,daylight_hours_next
135691,124149.0,127588.0,135744.0,133021.0,136627.0,142280.0,132956.0,132123.0,133854.0,131836.3,133248.6,43.0,48.0,45.5,42.0,96.0,0.28,0.0,0.0,2.4,99.0,4.5,0.0,42.5,0.0,7.5,0.0,0.0,10.49
133740,135691.0,124149.0,127588.0,132023.0,136552.0,148015.0,134513.0,143162.0,132123.0,132217.7,133772.5,37.0,46.0,41.5,27.3,62.0,0.13,0.0,0.0,11.29,90.0,8.5,0.0,43.8,0.0,6.2,0.0,0.0,10.53
133541,133740.0,135691.0,124149.0,133837.0,138459.0,143862.0,132082.0,147267.0,143162.0,132463.0,134357.2,37.0,44.0,40.5,37.0,91.0,0.39,0.0,0.0,1.74,100.0,9.5,0.0,42.5,0.0,7.5,0.0,0.0,10.57
136077,133541.0,133740.0,135691.0,136492.0,140924.0,139314.0,134558.0,141368.0,147267.0,132420.7,134376.7,18.0,40.0,29.0,12.7,52.0,0.0,0.0,0.0,14.48,13.0,21.0,0.0,37.0,0.0,13.0,0.0,0.0,10.62
139289,136077.0,133541.0,133740.0,135744.0,137659.0,135154.0,144695.0,139781.0,141368.0,132361.4,134428.8,14.0,31.0,22.5,6.3,52.0,0.0,0.0,0.0,14.59,37.0,27.5,0.0,30.7,0.0,19.3,1.0,0.0,10.66
134595,139289.0,136077.0,133541.0,127588.0,125498.0,126400.0,137365.0,134017.0,139781.0,132867.9,134669.0,30.0,44.0,37.0,23.8,66.0,0.0,0.0,0.0,8.2,86.0,13.0,0.0,29.5,0.0,20.5,1.0,0.0,10.7
126028,134595.0,139289.0,136077.0,124149.0,122930.0,122177.0,126410.0,122681.0,134017.0,133868.9,134670.3,38.0,51.0,44.5,27.6,67.0,0.0,0.0,0.0,14.32,57.0,5.5,0.0,34.7,0.0,15.3,0.0,1.0,10.74
125814,126028.0,134595.0,139289.0,135691.0,133021.0,136627.0,142280.0,124444.0,122681.0,134137.3,134048.0,38.0,47.0,42.5,35.2,84.0,0.0,0.0,0.0,2.84,96.0,7.5,0.0,41.3,0.0,8.7,0.0,0.0,10.79
134632,125814.0,126028.0,134595.0,133740.0,132023.0,136552.0,148015.0,132375.0,124444.0,132726.3,133663.0,32.0,48.0,40.0,26.8,61.0,0.0,0.0,0.0,14.95,39.0,10.0,0.0,42.3,0.0,7.7,0.0,0.0,10.83
131988,134632.0,125814.0,126028.0,133541.0,133837.0,138459.0,143862.0,143375.0,132375.0,132853.7,133937.1,26.0,35.0,30.5,15.0,53.0,0.0,0.0,0.0,12.39,74.0,19.5,0.0,37.7,0.0,12.3,0.0,0.0,10.87
138646,131988.0,134632.0,125814.0,136077.0,136492.0,140924.0,139314.0,146783.0,143375.0,132631.9,133594.0,20.0,35.0,27.5,8.3,46.0,0.0,0.0,0.0,15.92,0.0,22.5,0.0,32.7,0.0,17.3,0.0,0.0,10.91
141414,138646.0,131988.0,134632.0,139289.0,135744.0,137659.0,135154.0,137778.0,146783.0,132998.9,133281.7,30.0,50.0,40.0,15.7,46.0,0.0,0.0,0.0,16.04,5.0,10.0,0.0,32.7,0.0,17.3,1.0,0.0,10.96
125920,141414.0,138646.0,131988.0,134595.0,127588.0,125498.0,126400.0,134984.0,137778.0,133302.4,133200.1,39.0,56.0,47.5,20.3,48.0,0.0,0.0,0.0,16.1,4.0,2.5,0.0,38.3,0.0,11.7,1.0,0.0,11.0
119214,125920.0,141414.0,138646.0,126028.0,124149.0,122930.0,122177.0,125888.0,134984.0,132063.1,132753.6,41.0,62.0,51.5,29.3,63.0,0.0,0.0,0.0,15.17,49.0,0.0,0.0,46.3,0.0,4.2,0.0,0.0,11.04
129724,119214.0,125920.0,141414.0,125814.0,135691.0,133021.0,136627.0,123497.0,125888.0,131089.7,132222.3,46.0,53.0,49.5,40.6,84.0,0.14,0.0,0.0,4.77,100.0,0.5,0.0,49.5,0.0,1.0,0.0,0.0,11.09
130168,129724.0,119214.0,125920.0,134632.0,133740.0,132023.0,136552.0,139220.0,123497.0,131648.3,132333.1,43.0,48.0,45.5,42.7,93.0,0.0,0.0,0.0,3.83,99.0,4.5,0.0,48.8,0.0,1.7,0.0,0.0,11.13
