lag_0,lag_1,lag_2,lag_3,lag_7,lag_14,lag_21,lag_28,lag_365,lag_366,rolling_7,rolling_30,tmin_fc,tmax_fc,tavg_fc,dew_point_fc,rh_mean_fc,rh_max_fc,prcp_fc,snow_fc,snwd_fc,solar_rad_fc,cloud_cover_fc,sunshine_hours_fc,hdd_fc,cdd_fc,tavg_3day_fc,cdd_3day_fc,hdd_3day_fc,is_weekend_next,is_holiday_next,daylight_hours_next,dow_0,dow_1,dow_2,dow_3,dow_4,dow_5,dow_6,doy_sin_1,doy_cos_1,doy_sin_2,doy_cos_2
139289,136077.0,133541.0,133740.0,135744.0,137659.0,135154.0,144695.0,139781.0,141368.0,132361.42857142858,134428.8,14.0,31.0,22.5,6.3,52.0,74.0,0.0,0.0,0.0,14.59,37.0,9.68,27.5,0.0,30.7,0.0,19.3,1.0,0.0,10.66,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7112757519738152,0.7029130847082615,0.9999300657962057,-0.011826390691832589
134595,139289.0,136077.0,133541.0,127588.0,125498.0,126400.0,137365.0,134017.0,139781.0,132867.85714285713,134669.03333333333,30.0,44.0,37.0,23.8,66.0,83.0,0.0,0.0,0.0,8.2,86.0,6.04,13.0,0.0,29.5,0.0,20.5,1.0,0.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7232617254437388,0.6905740195722293,0.9989315138848577,-0.046215046983708354
126028,134595.0,139289.0,136077.0,124149.0,122930.0,122177.0,126410.0,122681.0,134017.0,133868.85714285713,134670.26666666666,38.0,51.0,44.5,27.6,67.0,87.0,0.0,0.0,0.0,14.32,57.0,10.21,5.5,0.0,34.7,0.0,15.3,0.0,1.0,10.74,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7350336741329413,0.6780306024735382,0.9967506498213929,-0.08054900421874167
125814,126028.0,134595.0,139289.0,135691.0,133021.0,136627.0,142280.0,124444.0,122681.0,134137.2857142857,134048.03333333333,38.0,47.0,42.5,35.2,84.0,99.0,0.0,0.0,0.0,2.84,96.0,0.0,7.5,0.0,41.3,0.0,8.7,0.0,0.0,10.79,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.746588114532413,0.6652865452111116,0.9933900548258936,-0.11478762552212701
134632,125814.0,126028.0,134595.0,133740.0,132023.0,136552.0,148015.0,132375.0,124444.0,132726.2857142857,133663.0,32.0,48.0,40.0,26.8,61.0,95.0,0.0,0.0,0.0,14.95,39.0,10.36,10.0,0.0,42.3,0.0,7.7,0.0,0.0,10.83,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7579216274973472,0.6523456189565257,0.9888537064205885,-0.1488903868564548
131988,134632.0,125814.0,126028.0,133541.0,133837.0,138459.0,143862.0,143375.0,132375.0,132853.7142857143,133937.06666666668,26.0,35.0,30.5,15.0,53.0,70.0,0.0,0.0,0.0,12.39,74.0,9.16,19.5,0.0,37.7,0.0,12.3,0.0,0.0,10.87,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7690308592589181,0.6392116531380588,0.9831469737221499,-0.1828169249850199
138646,131988.0,134632.0,125814.0,136077.0,136492.0,140924.0,139314.0,146783.0,143375.0,132631.85714285713,133594.0,20.0,35.0,27.5,8.3,46.0,61.0,0.0,0.0,0.0,15.92,0.0,10.51,22.5,0.0,32.7,0.0,17.3,0.0,0.0,10.91,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7799125224167177,0.6258885343075018,0.9762766110869321,-0.21652708524481437
141414,138646.0,131988.0,134632.0,139289.0,135744.0,137659.0,135154.0,137778.0,146783.0,132998.85714285713,133281.7,30.0,50.0,40.0,15.7,46.0,59.0,0.0,0.0,0.0,16.04,5.0,10.57,10.0,0.0,32.7,0.0,17.3,1.0,0.0,10.96,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7905633969115482,0.612380204990065,0.9682507501166718,-0.2499809690726521
125920,141414.0,138646.0,131988.0,134595.0,127588.0,125498.0,126400.0,134984.0,137778.0,133302.42857142858,133200.1,39.0,56.0,47.5,20.3,48.0,68.0,0.0,0.0,0.0,16.1,4.0,10.59,2.5,0.0,38.3,0.0,11.7,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8009803309782905,0.5986906625177214,0.9590788900341131,-0.28313898122818354
119214,125920.0,141414.0,138646.0,126028.0,124149.0,122930.0,122177.0,125888.0,134984.0,132063.14285714287,132753.63333333333,41.0,62.0,51.5,29.3,63.0,84.0,0.0,0.0,0.0,15.17,49.0,9.47,0.0,0.0,46.3,0.0,4.2,0.0,0.0,11.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8111602420785621,0.5848239578463322,0.9487718864399473,-0.31596187665790293
129724,119214.0,125920.0,141414.0,125814.0,135691.0,133021.0,136627.0,123497.0,125888.0,131089.7142857143,132222.3,46.0,53.0,49.5,40.6,84.0,99.0,0.14,0.0,0.0,4.77,100.0,0.0,0.5,0.0,49.5,0.0,1.0,0.0,0.0,11.09,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8211001178128892,0.5707841943569036,0.9373419384643772,-0.3484108069446808
130168,129724.0,119214.0,125920.0,134632.0,133740.0,132023.0,136552.0,139220.0,123497.0,131648.2857142857,132333.1,43.0,48.0,45.5,42.7,93.0,100.0,0.0,0.0,0.0,3.83,99.0,0.15,4.5,0.0,48.8,0.0,1.7,0.0,0.0,11.13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8307970168121247,0.5565755266413303,0.9248025743285089,-0.38044736628785164
131364,130168.0,129724.0,119214.0,131988.0,133541.0,133837.0,138459.0,143977.0,139220.0,131010.57142857143,132599.46666666667,31.0,43.0,37.0,26.6,63.0,97.0,0.4,0.0,0.0,14.26,48.0,10.67,13.0,0.0,44.0,0.0,6.0,0.0,0.0,11.17,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8402480696078469,0.5422021592729844,0.9111686353326631,-0.41203363695942635
133929,131364.0,130168.0,129724.0,138646.0,136077.0,136492.0,140924.0,146740.0,143977.0,130921.42857142857,132424.03333333333,29.0,42.0,35.5,11.6,42.0,55.0,0.0,0.0,0.0,16.15,29.0,10.75,14.5,0.0,39.3,0.0,10.7,0.0,0.0,11.22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8494504794814806,0.527668345562516,0.8964562582905575,-0.44313223418263453
138016,133929.0,131364.0,130168.0,141414.0,139289.0,135744.0,137659.0,143568.0,146740.0,130247.57142857143,132336.6,25.0,35.0,30.0,10.3,44.0,55.0,0.0,0.0,0.0,14.63,27.0,10.56,20.0,0.0,34.2,0.0,15.8,1.0,0.0,11.26,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8584015232918917,0.512978386299228,0.8806828564301475,-0.47370635037968
129490,138016.0,133929.0,131364.0,125920.0,134595.0,127588.0,125498.0,144308.0,143568.0,129762.14285714286,132321.83333333334,25.0,44.0,34.5,15.2,51.0,72.0,0.0,0.0,0.0,17.07,5.0,10.85,15.5,0.0,33.3,0.0,16.7,1.0,0.0,11.31,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8670985522812081,0.4981366284784055,0.8638670987837349,-0.503719798736334
126062,129490.0,138016.0,133929.0,119214.0,126028.0,124149.0,122930.0,131932.0,144308.0,130272.14285714286,131940.7,40.0,58.0,49.0,31.2,64.0,81.0,0.0,0.0,0.0,16.31,48.0,10.51,1.0,0.0,37.8,0.0,12.2,0.0,0.0,11.35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8755389928586302,0.4831474640149687,0.8460288880917339,-0.533137056031809
131611,126062.0,129490.0,138016.0,129724.0,125814.0,135691.0,133021.0,127285.0,131932.0,131250.42857142858,131554.13333333333,49.0,59.0,54.0,45.2,86.0,98.0,0.26,0.0,0.0,10.17,85.0,6.1,0.0,0.0,45.8,0.0,5.5,0.0,0.0,11.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8837203473619977,0.4680153284438345,0.8271893372462497,-0.5619233046832195
128988,131611.0,126062.0,129490.0,130168.0,134632.0,133740.0,132023.0,141496.0,127285.0,131520.0,131757.9,45.0,56.0,50.5,31.4,57.0,83.0,0.0,0.0,0.0,16.91,36.0,11.12,0.0,0.0,51.2,0.0,0.3,0.0,0.0,11.44,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8916401947968874,0.45274469960737107,0.8073707443023492,-0.5900444739548627
