prcp,tmin,tmax,rh_mean,rh_max,dew_point,solar_rad,cloud_cover,daylight_hours,sunshine_hours,is_weekend,is_holiday,day_of_week,tavg,hdd,cdd,tavg_3day,cdd_3day,hdd_3day,tavg_lag1,lag_0,lag_1,lag_2,lag_3,lag_7,lag_14,lag_21,lag_28,lag_365,lag_366,rolling_7,rolling_30
0.0,30.0,50.0,46,59,15.7,16.04,5,10.96,10.57,1,0,5,40.0,10.0,0.0,32.7,0.0,17.3,27.5,125920,141414.0,138646.0,131988.0,134595.0,127588.0,125498.0,126400.0,134984.0,137778.0,133302.4,133200.1
0.0,39.0,56.0,48,68,20.3,16.1,4,11.0,10.59,1,0,6,47.5,2.5,0.0,38.3,0.0,11.7,40.0,119214,125920.0,141414.0,138646.0,126028.0,124149.0,122930.0,122177.0,125888.0,134984.0,132063.1,132753.6
0.0,41.0,62.0,63,84,29.3,15.17,49,11.04,9.47,0,0,0,51.5,0.0,0.0,46.3,0.0,4.2,47.5,129724,119214.0,125920.0,141414.0,125814.0,135691.0,133021.0,136627.0,123497.0,125888.0,131089.7,132222.3
0.14,46.0,53.0,84,99,40.6,4.77,100,11.09,0.0,0,0,1,49.5,0.5,0.0,49.5,0.0,1.0,51.5,130168,129724.0,119214.0,125920.0,134632.0,133740.0,132023.0,136552.0,139220.0,123497.0,131648.3,132333.1
0.0,43.0,48.0,93,100,42.7,3.83,99,11.13,0.15,0,0,2,45.5,4.5,0.0,48.8,0.0,1.7,49.5,131364,130168.0,129724.0,119214.0,131988.0,133541.0,133837.0,138459.0,143977.0,139220.0,131010.6,132599.5
0.4,31.0,43.0,63,97,26.6,14.26,48,11.17,10.67,0,0,3,37.0,13.0,0.0,44.0,0.0,6.0,45.5,133929,131364.0,130168.0,129724.0,138646.0,136077.0,136492.0,140924.0,146740.0,143977.0,130921.4,132424.0
0.0,29.0,42.0,42,55,11.6,16.15,29,11.22,10.75,0,0,4,35.5,14.5,0.0,39.3,0.0,10.7,37.0,138016,133929.0,131364.0,130168.0,141414.0,139289.0,135744.0,137659.0,143568.0,146740.0,130247.6,132336.6
0.0,25.0,35.0,44,55,10.3,14.63,27,11.26,10.56,1,0,5,30.0,20.0,0.0,34.2,0.0,15.8,35.5,129490,138016.0,133929.0,131364.0,125920.0,134595.0,127588.0,125498.0,144308.0,143568.0,129762.1,132321.8
0.0,25.0,44.0,51,72,15.2,17.07,5,11.31,10.85,1,0,6,34.5,15.5,0.0,33.3,0.0,16.7,30.0,126062,129490.0,138016.0,133929.0,119214.0,126028.0,124149.0,122930.0,131932.0,144308.0,130272.1,131940.7
0.0,40.0,58.0,64,81,31.2,16.31,48,11.35,10.51,0,0,0,49.0,1.0,0.0,37.8,0.0,12.2,34.5,131611,126062.0,129490.0,138016.0,129724.0,125814.0,135691.0,133021.0,127285.0,131932.0,131250.4,131554.1
